match_id,date,map,map_number,team_A,team_B,winner,team_A_rank,team_B_rank,rank_diff,abs_rank_diff,picked_by_is_A,is_decider,map_winrate_A,map_winrate_B,recent_form_A,recent_form_B,winner_is_A,split_row,split_match
85839,2025-04-07,Inferno,7,3DMAX,Astralis,3DMAX,8,11,-3,3,0,1,1.0,0.5,0.5,0.75,1,train,train
85838,2025-04-07,Mirage,3,Aurora,Legacy,Aurora,6,19,-13,13,0,0,0.5,0.5,0.7,0.6666666666666666,1,train,train
85837,2025-04-07,Mirage,3,Liquid,Virtus.pro,Virtus.pro,27,18,9,9,1,0,0.5,0.0,0.0,0.0,0,train,train
85837,2025-04-07,Dust2,4,Liquid,Virtus.pro,Virtus.pro,27,18,9,9,0,0,0.5,0.5,0.0,0.3333333333333333,0,train,train
85839,2025-04-07,Dust2,3,3DMAX,Astralis,3DMAX,8,11,-3,3,1,0,0.5,0.0,0.6,0.6,1,test,train
85844,2025-04-08,Mirage,3,Astralis,Betclic,Betclic,11,51,-40,40,0,0,0.5,0.0,0.5,0.5,0,test,test
85846,2025-04-08,Ancient,3,Rare Atom,FaZe,FaZe,36,12,24,24,1,0,0.5,0.0,0.4,0.3333333333333333,0,val,train
85846,2025-04-08,Dust2,4,Rare Atom,FaZe,FaZe,36,12,24,24,0,0,0.0,1.0,0.3333333333333333,0.5,0,train,train
85844,2025-04-08,Ancient,4,Astralis,Betclic,Betclic,11,51,-40,40,1,0,1.0,1.0,0.42857142857142855,0.6,0,train,test
85843,2025-04-08,Dust2,4,FURIA,Virtus.pro,Virtus.pro,10,18,-8,8,0,0,1.0,1.0,0.6,0.5,0,train,train
85848,2025-04-08,Nuke,3,Falcons,paiN,paiN,5,17,-12,12,0,0,0.5,0.0,0.0,0.3333333333333333,0,val,val
85843,2025-04-08,Anubis,3,FURIA,Virtus.pro,Virtus.pro,10,18,-8,8,1,0,0.5,0.5,0.5,0.6,0,train,train
85847,2025-04-08,Anubis,4,G2,Complexity,Complexity,15,51,-36,36,0,0,0.5,1.0,0.6666666666666666,0.8333333333333334,0,test,train
85847,2025-04-08,Dust2,3,G2,Complexity,G2,15,51,-36,36,1,0,1.0,0.5,0.5714285714285714,0.8571428571428571,1,val,train
85848,2025-04-08,Train,4,Falcons,paiN,Falcons,5,17,-12,12,1,0,0.0,0.5,0.0,0.5,1,train,val
85848,2025-04-08,Inferno,7,Falcons,paiN,Falcons,5,17,-12,12,0,1,0.5,1.0,0.25,0.4,1,val,val
85849,2025-04-08,Inferno,3,Aurora,3DMAX,3DMAX,6,8,-2,2,0,0,0.3333333333333333,1.0,0.7,0.6666666666666666,0,train,train
85849,2025-04-08,Anubis,4,Aurora,3DMAX,Aurora,6,8,-2,2,1,0,0.6666666666666666,1.0,0.6,0.7142857142857143,1,test,train
85849,2025-04-08,Dust2,7,Aurora,3DMAX,3DMAX,6,8,-2,2,0,1,1.0,1.0,0.6,0.625,0,test,train
85847,2025-04-08,Ancient,7,G2,Complexity,G2,15,51,-36,36,0,1,1.0,0.5,0.625,0.75,1,train,train
85853,2025-04-09,Inferno,3,Rare Atom,Falcons,Rare Atom,36,5,31,31,1,0,0.5,1.0,0.2857142857142857,0.4,1,train,train
